"","X","focal","competitor","treatment","alpha","alpha_sd","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair","fd_superior","fd_sup_sp","treat","label"
"1",5,"SACO","ACWR","1",0.149193788967345,0.121795532398658,0.0602621065749404,0.281644907266264,1023.58416466961,665.710891051902,1408.55743962513,0.766449693661646,0.664508651068946,0.84572190506584,2.90974541205037,1.95785645488546,4.50496592983304,"SACO_ACWR",2.90974541205037,2,"1","SA-AC"
"2",6,"URLI","ACWR","1",0.0459269203416369,0.0965097101704621,0.0179033297901926,0.131815599166043,89.4550018994279,63.7693558488513,162.410077364461,0.436229477218971,0.179738307266328,0.59264530532353,2.65627930672562,1.24891007237561,4.8394618413728,"URLI_ACWR",2.65627930672562,2,"1","UR-AC"
"3",7,"ACWR","FEMI","1",0.211760923216728,0.148263896601722,0.119352225909223,0.363336834160334,2199.20126197249,1598.43782277783,3094.59224766217,0.433719101109824,0.263341695187797,0.557855190475923,1.6579156994356,1.28481758171892,2.13320644972598,"ACWR_FEMI",1.6579156994356,2,"1","AC-FE"
"4",9,"HOMU","FEMI","1",0.109411756388336,0.0539094562916036,0.072159294717624,0.165987150936023,736.667017857429,630.864368849537,860.788594745433,0.474409853241516,0.346169772474522,0.574717910482782,1.17238129063408,0.949125940118095,1.46068095653118,"HOMU_FEMI",1.17238129063408,2,"1","HO-FE"
"5",10,"PLER","FEMI","1",0.429967755436043,0.186125096875542,0.289896751180437,0.618121291439883,637.788304940562,506.313326568219,802.943783421892,-0.0769886109010705,-0.320162376730568,0.11863977431643,2.17205344876135,1.75966492696665,2.67559810114004,"PLER_FEMI",2.17205344876135,2,"1","PL-FE"
"6",11,"SACO","FEMI","1",0.316030428643438,0.170686179155906,0.17840664301594,0.495833369249035,1023.58416466961,665.710891051902,1408.55743962513,0.367699485773033,0.206239074655132,0.48688375952159,2.99276915052803,2.4043472469312,3.83628912894551,"SACO_FEMI",2.99276915052803,2,"1","SA-FE"
"7",12,"URLI","FEMI","1",0.0541828012110369,0.0848417547264259,0.02721286243832,0.123025924081586,89.4550018994279,63.7693558488513,162.410077364461,0.3877881152964,0.0512906408478837,0.545495028955468,3.52349402972177,1.93094208389887,5.81724008494268,"URLI_FEMI",3.52349402972177,2,"1","UR-FE"
"8",13,"ACWR","HOMU","1",0.941538883110209,0.475891660340612,0.56301874338991,1.58429936174977,2199.20126197249,1598.43782277783,3094.59224766217,0.313797208682867,0.120465669888156,0.46217068802609,1.13574071248787,0.865071345189164,1.48381901587321,"ACWR_HOMU",1.13574071248787,2,"1","AC-HO"
"9",16,"PLER","HOMU","1",1.0221670420924,0.357270116453933,0.718414358702972,1.43875207237649,637.788304940562,506.313326568219,802.943783421892,0.356985387539084,0.195193989930738,0.489845036251545,1.6157786492945,1.31341882000346,2.02516625111685,"PLER_HOMU",1.6157786492945,2,"1","PL-HO"
"10",17,"SACO","HOMU","1",0.92861049720945,0.437605672816754,0.531668980202827,1.41141315294767,1023.58416466961,665.710891051902,1408.55743962513,0.558201004592839,0.453524795012343,0.649734838433659,2.38268259323421,1.88926610881405,2.96726040745113,"SACO_HOMU",2.38268259323421,2,"1","SA-HO"
"11",18,"URLI","HOMU","1",0.140581199187237,0.337269963346044,0.0540259919035562,0.437408505014233,89.4550018994279,63.7693558488513,162.410077364461,0.65825253535692,0.420667741417316,0.815919741841755,3.18005263656305,1.3067339641234,7.03122286767844,"URLI_HOMU",3.18005263656305,2,"1","UR-HO"
"12",19,"ACWR","PLER","1",0.559064558881658,0.304562205795676,0.358662504020581,0.908006557377578,2199.20126197249,1598.43782277783,3094.59224766217,0.372531362390095,0.201024844322827,0.50294278428901,1.76480736913483,1.36571185092489,2.32304700134573,"ACWR_PLER",1.76480736913483,2,"1","AC-PL"
"13",23,"SACO","PLER","1",0.435221184846191,0.229166614745044,0.256927257005804,0.680722131735507,1023.58416466961,665.710891051902,1408.55743962513,0.769869075629567,0.695256360998433,0.848624296570079,5.3215326419861,3.76881948056203,7.79242146140603,"SACO_PLER",5.3215326419861,2,"1","SA-PL"
"14",24,"URLI","PLER","1",0.0303179634960609,0.0587176832163258,0.0138730368691947,0.0819513575751135,89.4550018994279,63.7693558488513,162.410077364461,0.679085858442903,0.485836597156491,0.808391276191983,1.74332763850808,0.873870176223156,3.45272902180326,"URLI_PLER",1.74332763850808,2,"1","UR-PL"
"15",30,"URLI","SACO","1",0.0389140348240174,0.0493620106429636,0.0230945818330792,0.0806067113733568,89.4550018994279,63.7693558488513,162.410077364461,0.406927427591671,-0.0228078559207615,0.674302445078843,2.92221808350009,1.55396225044931,5.39681415378625,"URLI_SACO",2.92221808350009,2,"1","UR-SA"
"16",41,"SACO","ACWR","2",0.306387447678958,0.228222487520236,0.152614593425793,0.569684545924863,543.969440496634,318.354797421569,856.379227646948,0.705153881656384,0.587797784819477,0.812513574465631,5.67704480236584,3.89698569295183,9.52545645017306,"SACO_ACWR",5.67704480236584,2,"2","SA-AC"
"17",42,"URLI","ACWR","2",0.0281205370389009,0.0143194861282291,0.0163195845829213,0.0434390689250625,74.7716798774031,62.7042433070454,89.0097525366681,0.855834663995257,0.787316128838123,0.915378765271687,4.48167023021153,2.91890278544559,7.86120720249977,"URLI_ACWR",4.48167023021153,2,"2","UR-AC"
"18",43,"ACWR","FEMI","2",0.41890072807644,0.232156302908528,0.254318692711535,0.661858569634574,1781.16162398266,1330.41170852512,2373.05380160847,0.454881456588651,0.130178838930967,0.705632812381524,3.27524427467764,1.95531330798627,5.7498468537929,"ACWR_FEMI",3.27524427467764,2,"2","AC-FE"
"19",45,"HOMU","FEMI","2",0.0526716007139121,0.0201173008698473,0.0356401618107806,0.0727130955157631,612.054185774003,494.209949999846,756.06894689157,0.42604394920662,0.298501337503215,0.538127802651054,0.453923970311383,0.36370572865895,0.560559820041901,"HOMU_FEMI",2.20301210203554,1,"2","HO-FE"
"20",46,"PLER","FEMI","2",0.253485729636344,0.0640499232777495,0.200085678419901,0.320092983059706,683.656516855899,596.940143789441,771.606443010576,0.62361206189399,0.541074161101218,0.678370991414551,2.53184293146483,2.15229112910742,3.03479149738684,"PLER_FEMI",2.53184293146483,2,"2","PL-FE"
"21",47,"SACO","FEMI","2",0.361665248419888,0.243956837728953,0.192047196974136,0.620111990459187,543.969440496634,318.354797421569,856.379227646948,0.508311760241261,0.345577020855512,0.654258163054132,6.26993688019807,4.53335440562767,9.07227421809069,"SACO_FEMI",6.26993688019807,2,"2","SA-FE"
"22",48,"URLI","FEMI","2",0.025757652935064,0.0141394388424427,0.0155628273419751,0.0417442431492023,74.7716798774031,62.7042433070454,89.0097525366681,0.894737559814376,0.796617840218515,0.931397129095048,8.87722062295131,4.61044276161439,14.6440769875839,"URLI_FEMI",8.87722062295131,2,"2","UR-FE"
"23",49,"ACWR","HOMU","2",0.974392528366239,0.368426656490605,0.667074774791775,1.39222300199764,1781.16162398266,1330.41170852512,2373.05380160847,0.0333156089220676,-0.379677442843463,0.363517867764009,2.02988102529063,1.41247563142269,3.09850633105429,"ACWR_HOMU",2.02988102529063,2,"2","AC-HO"
"24",52,"PLER","HOMU","2",1.27406432215009,0.300245905894421,1.00719118214237,1.62923320234285,683.656516855899,596.940143789441,771.606443010576,0.313143428677979,0.188735891638281,0.419759832603774,3.4526654667203,2.97432905907298,4.08923995383435,"PLER_HOMU",3.4526654667203,2,"2","PL-HO"
"25",53,"SACO","HOMU","2",0.687192199344291,0.452549994426557,0.326075600722754,1.25081896931979,543.969440496634,318.354797421569,856.379227646948,0.393505198324326,0.215787004176795,0.534292100517574,4.52201229694072,3.31725018501578,6.31495166396294,"SACO_HOMU",4.52201229694072,2,"2","SA-HO"
"26",54,"URLI","HOMU","2",0.109131547592231,0.0558071076681289,0.0679176680866641,0.171128841904843,74.7716798774031,62.7042433070454,89.0097525366681,0.621441290821881,0.383711008409868,0.751807666352905,5.31705620270709,2.97521145257773,8.14683033544183,"URLI_HOMU",5.31705620270709,2,"2","UR-HO"
"27",55,"ACWR","PLER","2",0.297105384401715,0.152053736629792,0.198234559674539,0.445582151997952,1781.16162398266,1330.41170852512,2373.05380160847,0.568368718906144,0.427662633838378,0.677514708621357,0.710507871942152,0.532163462035782,0.958630428868781,"ACWR_PLER",1.40744394184758,1,"2","AC-PL"
"28",59,"SACO","PLER","2",0.175627429749918,0.111945755415512,0.0913851842336962,0.304216164603744,543.969440496634,318.354797421569,856.379227646948,0.781092425476495,0.718331044572193,0.831135480023225,1.72578970845672,1.24773370609502,2.27647214564973,"SACO_PLER",1.72578970845672,2,"2","SA-PL"
"29",60,"URLI","PLER","2",0.0238215452162279,0.011011827191404,0.0142754343961706,0.0354231772773467,74.7716798774031,62.7042433070454,89.0097525366681,0.853458091949559,0.808272399272935,0.89188260332386,1.47677497508087,1.09361469680768,1.96000759694062,"URLI_PLER",1.47677497508087,2,"2","UR-PL"
"30",66,"URLI","SACO","2",0.00451186218037959,0.0068983072227728,0.001,0.0131186263886865,74.7716798774031,62.7042433070454,89.0097525366681,0.683162575983009,0.44966006541416,0.839211507945901,0.434719086211876,0.210620288029452,0.794847750559886,"URLI_SACO",2.30033608304148,1,"2","UR-SA"
